Longitude,Latitude,Timestamp,ID
-77.0310,38.8960,2021-01-06 00:02:39,fR3uMI0eP5i4
-77.0310,38.8960,2021-01-06 00:02:39,oUTz8VjR0TS0
-77.0310,38.8960,2021-01-06 00:02:39,g8U9LBKTG01A
-79.1311,41.4610,2021-01-06 00:04:45,x3gjWoWTz1Sb
-79.1311,41.4610,2021-01-06 00:04:45,DbiygrKIZ9Le
-124.1068,40.9329,2021-01-06 00:04:56,y0drZm0Iwx3f
-77.0476,38.8962,2021-01-06 00:11:14,jrd59p8tVRbY
-77.0476,38.8962,2021-01-06 00:11:14,vimMsf0RVPsw
-77.0476,38.8962,2021-01-06 00:11:14,USL1VqJU22z1
-77.0476,38.8962,2021-01-06 00:11:14,xq6pIrZTPH7S
-77.0476,38.8962,2021-01-06 00:11:14,KoDL2tA6q92U
-77.0476,38.8962,2021-01-06 00:11:14,H0Uj6aa8Cl5c
-77.0372,38.8876,2021-01-06 00:15:51,eGqmDWzz0oSh
-77.0312,38.8958,2021-01-06 00:17:28,8dQ1t0NGI7M0
-77.0312,38.8958,2021-01-06 00:17:28,lvkLdkQr9eST
-77.0312,38.8958,2021-01-06 00:17:28,dmmq2lpb09v5
-77.0312,38.8958,2021-01-06 00:17:28,bqcFHFPlIxVz
0.0000,0.0000,2021-01-06 00:21:23,PxsYW4ExIe3g
-77.0280,38.8995,2021-01-06 00:21:55,SYrL5ychSNYs
-82.4869,28.4872,2021-01-06 00:22:39,07GgcQ6GwBGA
0.0000,0.0000,2021-01-06 00:31:54,QSC314wF8pWf
0.0000,0.0000,2021-01-06 00:33:45,fYht7hfiBr8t
-90.5071,38.5920,2021-01-06 00:37:17,dtuAkbo5oLgv
-71.5761,41.7265,2021-01-06 00:37:21,LHlWwxMrWzVv
-71.5761,41.7265,2021-01-06 00:37:21,G96V4dMieoPE
-71.5761,41.7265,2021-01-06 00:37:21,mORNOpg7Uiuk
0.0000,0.0000,2021-01-06 00:37:41,Ib3FYy144bYo
-77.0310,38.8960,2021-01-06 00:41:50,2bA317by5x7J
-77.0310,38.8960,2021-01-06 00:41:50,m2L1vJXlgGvw
-119.8838,37.0038,2021-01-06 00:42:12,lXCrexIoXk7x
-119.8838,37.0038,2021-01-06 00:42:12,anJv7TujfgeN
-77.0366,38.9029,2021-01-06 00:44:54,JVjmTCz2H42S
-97.4140,35.2123,2021-01-06 00:45:21,5YKQV5CmTph1
-77.0312,38.8958,2021-01-06 00:45:46,s8MMt82JikyZ
-77.0312,38.8958,2021-01-06 00:45:46,OYfUeXTfX88D
-121.1245,37.7784,2021-01-06 00:45:56,E4cPt2xeg92h
0.0000,0.0000,2021-01-06 00:47:26,hQw19dB81uRq
-112.1086,33.8591,2021-01-06 00:49:44,TWgzFKVkHC1Y
-64.7545,46.1012,2021-01-06 00:54:29,i5awYpM8aiIi
-64.7545,46.1012,2021-01-06 00:54:29,KpjvURSysGqo
-77.0318,38.8962,2021-01-06 01:03:29,aDNmvpzKl90o
-121.2499,38.7199,2021-01-06 01:18:55,M16tblaMfdxQ
-121.2499,38.7199,2021-01-06 01:18:55,UIU9405CkTpI
-121.2499,38.7199,2021-01-06 01:18:55,rBfgIR4ymtIA
-121.2499,38.7199,2021-01-06 01:18:55,X3hdNZobVojO
-121.2499,38.7199,2021-01-06 01:18:55,aF0MpfVkIv2l
-121.2499,38.7199,2021-01-06 01:18:55,vMGQVSCU2vr8
-73.4857,40.7147,2021-01-06 01:20:53,wg5CZ8wAAaaZ
-80.3377,25.7648,2021-01-06 01:24:04,nYtwyA9Ca5ML
-80.3377,25.7648,2021-01-06 01:24:04,zmik6BYvfo51
-88.2380,41.6966,2021-01-06 01:24:14,F5ubAfG7CrSk
-81.2254,29.5834,2021-01-06 01:27:07,15g95sKQPumq
-88.2380,41.6966,2021-01-06 01:27:09,lNr4V1Qegbux
-88.2617,41.4243,2021-01-06 01:27:33,OL96keoioe0X
-122.7067,45.5791,2021-01-06 01:29:09,HxXnG6o0Wuda
-88.2380,41.6966,2021-01-06 01:31:16,haDy8YeIpOMF
-88.2380,41.6966,2021-01-06 01:32:02,Af9F7UV5wqAw
-90.9207,30.4680,2021-01-06 01:32:41,yWkE6kY2odpo
-157.8318,21.2807,2021-01-06 01:40:25,d53Kmmk787Z8
-77.0364,38.9030,2021-01-06 01:48:19,IGu3auz0bppz
-77.0364,38.9030,2021-01-06 01:48:19,8L4mcsc4jEmg
-71.1340,41.9422,2021-01-06 02:06:35,japick7m4ZM8
-84.4229,33.9629,2021-01-06 02:08:43,QpkXXWKx20Dg
-84.4229,33.9629,2021-01-06 02:08:43,D5QO2ybEA35l
-124.1531,40.8036,2021-01-06 02:10:23,ctGfka04Q5iX
-124.1531,40.8036,2021-01-06 02:10:23,khyDswG7V5zG
-71.4234,42.0893,2021-01-06 02:16:16,iyzDpxPwHyUa
-78.0258,39.3404,2021-01-06 02:17:52,SsUOPMGrlfGx
-81.2216,28.6861,2021-01-06 02:22:41,tcqBlqX0ONG3
-71.4704,41.9461,2021-01-06 02:23:32,W819tV0BhrO1
-124.1530,40.8037,2021-01-06 02:23:41,vtOPJuSpVEgF
-88.1244,42.2758,2021-01-06 02:24:06,cRlDi51Em3Bd
-76.1204,36.8411,2021-01-06 02:27:53,U5dl2ZqTiqAB
-76.1204,36.8411,2021-01-06 02:27:53,10EZROlk7SUK
-76.1204,36.8411,2021-01-06 02:27:53,rd5FIigyc0oU
-77.0530,38.8583,2021-01-06 02:35:42,EHhVyoV1ErjW
-76.1204,36.8412,2021-01-06 02:35:46,elQitHVCvPU1
-76.1204,36.8412,2021-01-06 02:35:46,lo2RyJCQ4nKO
-113.5356,53.5631,2021-01-06 02:38:06,mLMfVRQX4G3h
